Bytes,CDF
1177.000000000000,0.017285940000
1691.500000000000,0.018142646000
2206.000000000000,0.018999352000
2720.500000000000,0.019856058000
3235.000000000000,0.020712764000
3749.500000000000,0.021569470000
4264.000000000000,0.022426176000
6127.166667000000,0.023298198000
7990.333333000000,0.024170219000
9853.500000000000,0.025042241000
11716.666670000000,0.025914262000
13579.833330000000,0.026786284000
15443.000000000000,0.027658305000
17535.833330000000,0.033048588000
19628.666670000000,0.038438870000
21721.500000000000,0.043829152000
23814.333330000000,0.049219435000
25907.166670000000,0.054609718000
28000.000000000000,0.060000000000
29553.833330000000,0.067479915000
31107.666670000000,0.074959830000
32661.500000000000,0.082439746000
34215.333330000000,0.089919661000
35769.166670000000,0.097399576000
37323.000000000000,0.104879491000
39613.666670000000,0.143384289000
41904.333330000000,0.181889086000
44195.000000000000,0.220393884000
46485.666670000000,0.258898681000
48776.333330000000,0.297403479000
51067.000000000000,0.335908276000
55040.500000000000,0.365836392000
59014.000000000000,0.395764508000
62987.500000000000,0.425692624000
66961.000000000000,0.455620739000
70934.500000000000,0.485548855000
74908.000000000000,0.515476971000
77972.166670000000,0.536546580000
81036.333330000000,0.557616188000
84100.500000000000,0.578685797000
87164.666670000000,0.599755406000
90228.833330000000,0.620825014000
93293.000000000000,0.641894623000
101380.666700000000,0.663662235000
109468.333300000000,0.685429847000
117556.000000000000,0.707197459000
125643.666700000000,0.728965070000
133731.333300000000,0.750732682000
141819.000000000000,0.772500294000
157824.666700000000,0.791991325000
173830.333300000000,0.811482356000
189836.000000000000,0.830973388000
205841.666700000000,0.850464419000
221847.333300000000,0.869955450000
237853.000000000000,0.889446481000
293768.166700000000,0.900740112000
349683.333300000000,0.912033742000
405598.500000000000,0.923327373000
461513.666700000000,0.934621004000
517428.833300000000,0.945914634000
573344.000000000000,0.957208265000
823910.666700000000,0.958613454000
1070000.000000000000,0.960018644000
1330000.000000000000,0.961423833000
1580000.000000000000,0.962829022000
1830000.000000000000,0.964234212000
2076744.000000000000,0.965639401000
2980000.000000000000,0.966152468000
3890000.000000000000,0.966665534000
4800000.000000000000,0.967178601000
5710000.000000000000,0.967691667000
6610000.000000000000,0.968204733000
7521945.000000000000,0.968717800000
10800000.000000000000,0.969637682000
14100000.000000000000,0.970557564000
17400000.000000000000,0.971477446000
20700000.000000000000,0.972397328000
24000000.000000000000,0.973317210000
27244995.000000000000,0.974237092000
39200000.000000000000,0.975841382000
51100000.000000000000,0.977445672000
63000000.000000000000,0.979049962000
74900000.000000000000,0.980654251000
86800000.000000000000,0.982258541000
98686787.000000000000,0.983862831000
119000000.000000000000,0.986552359000
140000000.000000000000,0.989241887000
161000000.000000000000,0.991931416000
182000000.000000000000,0.994620944000
202000000.000000000000,0.997310472000
223092956.000000000000,1.000000000000
