Bytes,CDF,,,,,,,,,,,
325,0,,1,,,,,,,,,threshold
1177,0.01728594,,1,,0.01728594,20.34555138,,,,,,10000000
4264,0.022426176,,3,,0.005140236,21.9179663,,,0,,,
15443,0.027658305,,11,,0.005232129,80.79976815,,,0,,,
28000,0.06,,19,,0.032341695,905.56746,,,0,,,
37323,0.104879491,,25,,0.044879491,1675.037243,,,0,,,
51067,0.335908276,,35,,0.231028785,11797.94696,,,0,,,
74908,0.515476971,,50,,0.179568695,13451.13181,,,0,,,
93293,0.641894623,,63,,0.126417652,11793.88201,,,0,,,
141819,0.772500294,,95,,0.130605671,18522.36566,,,0,,,
237853,0.889446481,,159,,0.116946187,27816.00142,,,0,,,
573344,0.957208265,,383,,0.067761784,38850.81229,,,0,,,
2076744,0.965639401,,1385,,0.008431136,17509.3111,,,0,,,
7521945,0.9687178,,5015,,0.003078399,23155.54797,,,0,,,
27244995,0.974237092,,18164,,0.005519292,150373.0829,,,0.005519292,,,
98686787,0.983862831,,65792,,0.009625739,949933.2544,,,0.009625739,,,
223092956,1,,148729,,0.016137169,3600088.734,,,0.016137169,,,
,,,,,,,,,,,,
,,,,,,4865995.738,,,0.0312822,,,
