Byte,CDF,,1554691.784,Avg size
4000.00,0.0000000000000,,,
4328.50,0.0128415300000,,,
4657.00,0.0256830600000,,,
4985.50,0.0385245900000,,,
5314.00,0.0513661200000,,,
5642.50,0.0642076500000,,,
5971.00,0.0770491800000,,,
6429.50,0.0896174860000,,,
6888.00,0.1021857920000,,,
7346.50,0.1147540980000,,,
7805.00,0.1273224040000,,,
8263.50,0.1398907100000,,,
8722.00,0.1524590160000,,,
10370.67,0.1595628410000,,,
12019.33,0.1666666660000,,,
13668.00,0.1737704920000,,,
15316.67,0.1808743170000,,,
16965.33,0.1879781420000,,,
18614.00,0.1950819670000,,,
20105.50,0.2125683060000,,,
21597.00,0.2300546450000,,,
23088.50,0.2475409830000,,,
24580.00,0.2650273220000,,,
26071.50,0.2825136610000,,,
27563.00,0.3000000000000,,,
30447.67,0.3213114750000,,,
33332.33,0.3426229510000,,,
36217.00,0.3639344260000,,,
39101.67,0.3852459010000,,,
41986.33,0.4065573770000,,,
44871.00,0.4278688520000,,,
50244.67,0.4453551910000,,,
55618.33,0.4628415300000,,,
60992.00,0.4803278690000,,,
66365.67,0.4978142070000,,,
71739.33,0.5153005460000,,,
77113.00,0.5327868850000,,,
96526.33,0.5442622950000,,,
115939.67,0.5557377050000,,,
135353.00,0.5672131150000,,,
154766.33,0.5786885240000,,,
174179.67,0.5901639340000,,,
193593.00,0.6016393440000,,,
264680.67,0.6174863390000,,,
335768.33,0.6333333330000,,,
406856.00,0.6491803280000,,,
477943.67,0.6650273220000,,,
549031.33,0.6808743170000,,,
620119.00,0.6967213110000,,,
838984.67,0.7142076500000,,,
1060000.00,0.7316939890000,,,
1280000.00,0.7491803280000,,,
1500000.00,0.7666666660000,,,
1710000.00,0.7841530050000,,,
1933313.00,0.8016393440000,,,
2140000.00,0.8114754100000,,,
2340000.00,0.8213114750000,,,
2540000.00,0.8311475410000,,,
2740000.00,0.8409836070000,,,
2940000.00,0.8508196720000,,,
3147330.00,0.8606557380000,,,
3430000.00,0.8677595630000,,,
3720000.00,0.8748633880000,,,
4000000.00,0.8819672140000,,,
4280000.00,0.8890710390000,,,
4570000.00,0.8961748640000,,,
4853634.00,0.9032786890000,,,
5190000.00,0.9098360660000,,,
5540000.00,0.9163934430000,,,
5880000.00,0.9229508200000,,,
6220000.00,0.9295081970000,,,
6560000.00,0.9360655740000,,,
6901099.00,0.9426229510000,,,
7390000.00,0.9475409840000,,,
7870000.00,0.9524590170000,,,
8360000.00,0.9573770500000,,,
8840000.00,0.9622950820000,,,
9330000.00,0.9672131150000,,,
9812271.00,0.9721311480000,,,
10800000.00,0.9743169400000,,,
11800000.00,0.9765027330000,,,
12800000.00,0.9786885250000,,,
13800000.00,0.9808743170000,,,
14800000.00,0.9830601100000,,,
15759080.00,0.9852459020000,,,
17900000.00,0.9877049180000,,,
20000000.00,0.9901639350000,,,
22200000.00,0.9926229510000,,,
24300000.00,0.9950819670000,,,
26500000.00,0.9975409840000,,,
28589215.00,1.0000000000000,,,
