1068,1124,978,2830,1705,978,1467,1459,1829,1467,1231
577,978,1467,614,1189,978,3002,489,2370,1467,1258
436,1930,951,3421,1956,1466,2054,1521,1123,1023,1588
1681,545,854,1480,568,1467,489,2038,123,2087,2288
1391,2442,978,3423,210,1956,2445,2684,2273,4135,1049
1164,0,978,1467,658,2419,171,682,3223,2653,1467
1019,2485,1310,2022,1503,1591,2934,1031,2560,505,978
1899,2445,489,1587,1878,618,1956,2322,68,1467,1798
51,1983,2219,2436,0,1779,870,1943,3062,3159,2661
77,1034,598,487,1956,489,1294,4044,489,3912,2039
1062,2202,1660,1365,2758,489,489,996,1311,809,2759
1828,1305,2107,1998,1288,978,0,889,1130,1467,2218
231,646,616,1945,1341,2469,821,2020,1956,1901,1956
694,2365,2520,1901,2062,1615,2272,722,0,1538,3462
484,2407,1560,2142,1529,2417,1704,1814,2445,1557,914
1345,1709,1467,2485,2757,2445,1885,1727,1627,1007,2840
1232,3423,1517,1386,2156,1467,2088,556,1078,3078,262
992,3018,2336,627,489,1551,2239,1418,1651,959,489
1804,978,489,3727,3160,1419,736,1611,2070,3273,1956
210,1163,1763,3361,489,1562,1323,1025,3220,1260,1974
859,919,1343,742,1467,978,1956,2895,768,1918,2175
450,1129,560,512,1467,1315,859,397,3466,1135,2341
1927,1956,506,2092,2114,2445,2445,1298,2146,1193,1780
958,472,1131,1911,2252,0,2070,1467,1541,2256,935
557,1987,3340,665,2086,2991,701,3178,2619,2301,2618
982,1769,2022,1619,2812,752,1091,694,1856,2434,2664
820,2305,3010,1467,1324,2445,1265,1576,2934,1208,514
1358,3357,1452,2524,1055,1586,1467,2445,1199,1548,1597
113,1956,1395,1306,2197,1229,1598,2024,1963,730,1823
668,3795,18,1956,1170,2934,489,2384,978,241,2112
1135,1956,1135,685,1952,1089,1467,2237,1568,978,1157
258,2353,1467,751,2796,1729,489,489,1067,1956,1887
1081,1518,1765,1480,561,978,2203,1615,1906,4196,2012
1876,1579,1834,2292,1929,1359,1956,1309,718,2389,3045
328,2070,736,1662,388,142,1781,1467,929,1202,1024
27,4138,3106,1692,2293,1332,1693,978,2872,687,978
341,3354,2445,1299,1668,1595,2484,16,1342,3228,2035
1509,2078,0,1072,865,1573,1894,397,1916,67,2445
191,489,866,1368,1948,2568,2083,460,1303,1827,2445
1096,989,1813,1385,2445,1302,1690,990,2163,1467,2116
1462,1546,1912,578,1467,1557,587,568,4341,3108,1730
839,2390,1732,929,1009,1703,489,689,2051,3161,1431
1522,886,1024,1478,1956,597,489,1870,489,978,704
570,1266,1757,978,734,2059,1956,1441,1768,2085,2934
998,2007,1732,2160,807,3139,978,1180,728,3218,670
189,3509,1665,2736,2912,249,208,2119,842,986,827
1506,1058,1509,3506,2012,835,1901,1516,1780,2445,919
39,2333,1467,313,1157,2610,978,0,3581,1467,1374
1831,1104,1865,1635,942,1752,1253,978,1498,1956,1565
1260,1507,1397,1036,2287,991,1558,2735,4025,3289,158
1572,1455,489,1893,1006,2172,2207,3085,1467,0,615
1095,1390,747,1467,489,1184,2509,1843,489,1153,1965
1874,978,1143,3186,1114,2679,1228,1027,1677,1646,1956
742,2756,2504,2803,1792,2423,978,1222,1366,1467,1242
1598,2228,2276,1834,1467,2445,380,1263,978,2445,1814
1055,489,978,820,1369,3321,763,2693,1588,1924,2185
288,1016,1586,347,1290,1410,2582,2501,700,991,2769
351,1467,978,901,1956,1100,1956,2999,978,1244,971
911,1478,2803,2302,2111,3829,1331,489,1815,2305,2153
1851,978,2118,2015,1928,2374,1795,1737,1396,1848,1400
1594,1467,1640,1690,1223,1648,1956,426,2037,1476,896
1561,2465,866,1344,915,2233,1467,415,2195,1467,2445
743,0,978,1363,978,552,2493,1880,1659,489,758
1276,2076,2934,2072,1284,978,1991,676,1467,2515,1361
1156,2577,2730,2449,3190,1028,1666,2245,1085,871,978
838,3104,0,2442,856,1303,1213,978,1178,1622,2716
1701,1324,387,2107,1736,2338,1747,1956,1312,422,1294
649,2000,978,489,978,2112,2692,1670,2138,1467,4110
1133,1534,2976,1386,1341,466,489,2344,1489,2373,1930
515,1443,2145,978,489,1905,2109,3634,1148,1390,1485
597,978,2883,1456,881,1372,1956,1585,2177,729,1666
1756,1849,1141,365,1211,1657,982,2509,354,1953,1517
1183,2065,502,925,127,1316,1467,1793,2169,1956,1825
819,2447,1063,1467,2394,3912,489,1631,3622,978,978
1713,978,3104,1543,978,833,3455,1320,259,1467,3405
446,2859,489,1859,1569,2445,489,538,2245,1264,3241
806,522,2154,501,2271,1467,2177,2727,1247,314,1397
127,0,1334,1584,978,1834,2668,3262,1467,1833,927
475,739,1447,1801,1289,2278,990,885,1374,978,1956
110,1467,489,1255,404,1578,539,3662,489,2445,1956
1698,489,0,1892,2271,1159,1904,1956,1309,2441,2329
735,1146,516,1036,567,1390,1587,2591,1960,1332,978
817,1081,467,1697,1705,2157,978,729,758,2900,2362
1503,1291,3339,3687,2411,3465,1557,1937,1481,1834,770
1922,1012,489,1467,1956,2017,978,1405,2393,1956,2030
1849,1587,2896,1179,1467,1200,1467,719,222,1087,978
1787,2645,1467,938,1471,1828,2255,300,0,1336,2236
384,2438,2951,1241,164,0,2363,2904,1935,1351,2623
163,2431,489,1360,1956,4225,2723,489,2116,1334,1420
877,768,2044,769,417,2509,2738,1628,1346,1503,1467
720,2203,2156,1721,2408,4177,1173,1218,1107,1141,978
1617,1547,1158,489,1804,978,1467,1650,2445,0,1153
1602,1912,2445,1451,3444,0,1249,2354,1294,2090,2567
894,527,489,1956,1509,1489,1838,978,924,573,1467
1619,3336,978,2969,2187,978,1636,2092,3302,2414,4314
199,1583,1681,159,734,1467,2577,2310,2246,2174,872
1148,1455,2303,1447,1179,3043,1386,846,2934,560,2106
1690,2724,2445,1123,1313,182,1591,1956,1467,489,2582
763,2108,779,489,1745,489,1857,495,978,1434,489
302,1702,3250,1925,2937,2002,0,2996,1956,1143,0
1601,2409,1956,2463,489,1620,1970,873,2234,1903,2583
355,1155,1956,1698,1956,2590,599,978,2378,726,682
1317,728,939,1956,1853,1002,1956,1467,2445,2463,606
1891,1899,1467,2469,1467,1467,2934,0,1156,1395,271
903,193,1956,1751,978,1129,2825,1575,1467,465,2429
1052,2674,978,830,978,4034,1703,978,2327,1396,3107
1412,208,1366,810,2468,489,1467,1956,1718,1850,2207
1385,2201,978,2223,535,500,900,2650,2445,1859,978
892,1598,573,3546,1467,1131,1968,1956,1467,1008,3423
770,1559,489,876,958,2024,2110,2057,1897,1442,1815
256,922,1106,1157,1829,670,1451,978,1481,1049,2932
1667,2308,1467,2023,2433,938,2549,1411,1529,2864,1195
604,1120,1373,2445,2011,534,1690,1351,978,333,762
1575,2371,1739,1672,1198,2047,1964,1243,1956,869,1787
846,489,2546,978,1518,1377,1784,1660,2758,1956,1674
1721,222,1731,1862,1585,1622,414,1467,1016,3149,2059
1736,31,2309,880,3095,1956,978,1533,1467,923,1956
1716,2176,1266,2456,779,2380,1881,1395,635,414,3448
794,4584,1450,1602,869,645,1468,1967,1403,2657,3219
1017,2141,2685,1436,1940,1467,1182,266,1003,4294,812
220,2711,745,1371,1266,26,1956,5038,2365,2324,675
331,2448,1672,2422,2327,489,2832,1033,1625,1698,1864
141,1983,1537,1649,2240,1498,3105,1003,3145,672,407
854,3571,489,1646,749,849,1794,599,1195,1984,1058
276,706,1956,3849,978,1361,1424,1316,539,2935,2445
868,1707,1734,2497,1467,1363,489,918,657,2084,678
451,1467,1732,1372,1670,1833,2767,412,1467,3012,489
801,648,1302,1541,1728,1026,2014,736,1212,2929,1262
370,1903,1956,2335,1467,3021,2270,978,1448,2705,1990
1903,3299,759,1467,1093,978,1586,3310,2592,2297,1349
1825,1942,1183,1349,1882,2896,2297,2934,1956,1467,1592
155,1467,696,978,1138,1745,2445,1467,4889,3193,978
826,1304,1387,1600,1006,1177,1715,1467,1791,2926,601
1443,817,2264,1097,2445,240,2694,1359,1676,2540,539
1119,2075,2238,1362,857,1384,2142,1687,1762,1687,325
1645,2988,1956,1379,2460,546,2104,2168,1956,2139,1499
1381,1143,0,2445,978,2074,978,1162,1544,1482,1931
1122,2283,2255,2293,1448,2445,1224,1295,259,347,1956
405,1467,827,1467,1467,1956,978,2543,1200,1206,974
534,1897,1467,1788,1467,549,1139,489,1922,961,2057
1416,983,455,817,735,2709,1606,1467,2027,1826,1713
1529,1439,614,1876,1963,1790,2041,489,0,1203,675
195,871,1238,1956,1956,2151,978,1425,1626,1764,1467
1120,1956,489,981,1933,1685,978,1833,3466,2406,489
1697,785,1467,1263,999,2333,3427,2002,582,2227,2037
1735,978,1239,1091,978,3063,2216,3600,1483,618,2306
757,925,1467,1124,1773,7,3288,2353,489,2699,2086
1653,1043,978,0,1305,1633,879,2108,2160,1467,1956
299,1905,1666,489,978,2445,1479,3839,1598,0,1103
471,1982,2794,1626,1215,489,978,1467,648,2934,145
376,922,3218,2009,125,1431,764,1467,2445,1058,1956
776,1382,2440,1172,1956,1862,3018,978,1467,904,2343
1210,978,1467,1205,2120,1161,1929,1713,972,770,1010
1820,2250,2991,893,1548,1956,1467,1405,1588,1903,1735
225,1821,2472,3217,2438,537,1603,805,2616,1184,1467
907,1200,2445,1283,1429,1527,1971,1560,1035,626,1956
1217,0,525,2037,946,1956,1092,1412,2449,1885,2659
948,1634,637,1956,892,0,1689,1107,1762,635,489
324,829,952,1716,865,978,2714,2495,949,1148,1584
187,1956,543,1231,1891,1753,1053,0,1467,2193,2244
1897,754,1884,1467,3073,1423,5629,2789,2378,978,2346
1239,0,1245,1793,978,1467,2022,1272,1686,436,1375
1009,489,1956,766,2939,1467,1467,2065,883,2700,196
1125,1603,489,1253,1807,1558,736,489,489,1467,2643
1492,1979,746,1297,1467,1069,1153,2306,128,1467,978
1961,2152,740,2831,2433,1926,1181,2417,961,1951,2256
844,1817,2934,1027,1719,3193,2641,1467,121,2229,1467
1508,1562,1467,1454,1310,1839,2264,1739,1574,1333,718
126,4836,978,2257,1956,2934,2647,2169,1610,1426,1508
1768,393,2157,2466,1778,228,3232,1756,1956,1467,2211
1892,1653,1467,0,2211,3179,1596,34,1397,3423,2442
180,1860,491,3084,494,1889,1318,2834,635,1231,2333
1297,3713,1985,978,1467,0,0,2209,2445,2119,1254
1855,489,1467,489,1195,2304,1078,1467,2547,180,1846
1591,978,489,1956,1291,710,2934,1973,2363,1051,2013
1808,3981,1956,1911,2001,1620,1956,670,1956,2445,1467
974,978,1648,244,2753,978,1467,1312,500,2094,1840
1377,757,2488,1975,2445,1289,0,2206,1406,1098,1924
637,978,1064,1419,42,3009,1683,978,1467,1956,2116
1620,770,1467,809,489,1467,2227,1786,1269,4399,2390
1818,1138,2349,3515,1942,1936,830,1467,2431,856,1144
1005,1461,978,489,1103,978,1467,1659,2107,1467,2274
1396,1956,2613,2733,1669,987,2220,1956,2604,671,1390
292,1467,2189,1444,3064,3508,1956,2962,1600,978,0
1596,1956,1764,1467,2083,1956,489,989,2436,1755,917
1953,489,978,626,1354,978,1815,2434,863,905,1458
1676,1211,978,2034,2326,2350,1467,348,1392,2274,2445
407,1062,3354,1467,1927,2250,3869,489,625,2887,1451
1160,2153,671,1661,1855,1446,2469,2458,1092,978,2539
130,161,389,1680,2802,1956,1060,978,1368,2943,1467
1174,1813,610,1493,1981,882,868,2445,2818,1622,489
1065,1589,1450,2584,604,3847,1115,4520,1072,1472,978
75,978,920,2466,1031,2740,1285,3096,978,3805,208
1461,2291,978,1956,1596,1482,2613,1467,1538,1479,489
143,3497,765,1956,978,1000,1833,978,2063,1332,978
539,958,1328,978,2654,2766,2150,489,489,2964,1211
1111,0,1341,1523,1294,1749,1629,2600,1122,2034,713
572,1493,2142,2242,2445,1467,0,2329,252,1467,1612
1696,1617,3230,2565,1335,1954,1953,1488,1848,489,1955
1856,1144,293,1857,1293,978,489,2445,1956,120,3035
1567,0,978,1956,668,1861,1925,941,1467,2529,0
1781,1467,1467,2259,1562,1264,2686,0,1937,1488,1082
1474,978,3040,2673,862,720,2801,1694,1467,2689,1276
686,1661,2875,1716,543,978,1069,1786,489,1935,489
1285,2455,1467,1124,1807,978,2808,1956,489,978,489
1952,1219,2064,741,2513,978,978,1828,1455,782,972
1067,1467,2445,524,3875,39,978,978,1483,1029,1802
307,1744,1497,1956,575,1925,3316,3889,2324,1336,448
1955,4930,1612,2428,2183,489,31,1956,1869,1467,2388
749,1467,3338,2131,964,2763,587,474,489,2325,2375
1861,513,2223,40,978,2001,2041,1956,0,3128,1956
810,851,2051,1956,2385,790,1467,1965,961,1461,2534
1320,1467,2793,1135,2808,3257,3014,454,1999,978,1230
93,0,2567,118,1593,1048,1617,1967,1251,2070,3706
634,1467,1467,347,1082,160,1015,489,920,1315,489
759,1357,2605,507,1467,2445,978,3002,2445,1467,168
422,978,1467,2188,807,1458,1623,1345,1814,3012,2346
1057,2682,2445,2445,1956,2918,965,2208,0,369,2245
1445,912,2701,3435,1467,539,1427,1480,2535,2427,1467
61,2451,2457,1088,489,1389,2070,489,1956,2921,978
1971,1401,2177,1148,2410,821,2931,3423,1979,1703,0
379,862,978,519,2158,190,1078,1788,504,489,1632
674,1380,2445,620,978,2509,1234,853,1283,1269,835
1711,978,978,1467,2107,0,586,386,2374,1467,2327
350,172,606,1268,1467,3139,1200,1467,2934,1541,3431
1338,1124,918,0,2095,2445,1467,1324,2743,912,2612
1400,1807,489,1943,1467,1668,978,1956,1716,1356,0
1256,1839,489,1467,1467,1256,652,1081,1791,1080,489
125,679,2717,2626,1597,1197,1956,953,2828,978,3194
1076,489,2987,978,335,2169,2350,824,978,1600,721
386,916,489,1467,1071,1686,978,1786,1388,1467,1402
1323,2251,2720,3637,1467,1315,978,2714,3514,2154,1821
1672,656,1759,1310,489,2999,3189,738,1731,1956,3423
1712,831,1925,971,1624,944,1467,1467,636,978,2096
1465,2252,978,1410,1244,765,2146,1333,917,1662,2117
